source_id,company,title,published_at,url,body
samsung_bio_q2_2026,삼성바이오로직스,"삼성바이오로직스, 2026년 2분기 실적 발표",2026-07-23,https://samsungbiologics.com/media/company-news/samsung-biologics-reports-second-quarter-2026-financial-results,"삼성바이오로직스는 2026년 2분기 매출 1조3210억원, 영업이익 5860억원을 기록했다. 1공장부터 4공장까지 안정적인 생산 운영과 고객 프로젝트 수행이 실적에 반영됐다."
samsung_bio_polypeptide_2026,삼성바이오로직스,"삼성바이오로직스, 스위스 폴리펩타이드 인수 추진",2026-07-20,https://www.reuters.com/legal/transactional/samsung-biologics-launch-18-billion-all-cash-bid-polypeptide-2026-07-20/,삼성바이오로직스는 스위스 의약품 위탁생산 기업 폴리펩타이드를 약 18억달러에 전액 현금으로 인수하는 공개매수를 추진했다. 회사는 펩타이드 치료제와 비만·당뇨 분야의 생산 역량 확대를 기대했다.
celltrion_q2_2026,셀트리온,"셀트리온, 2026년 2분기 분기 최대 매출",2026-07-27,https://www.celltrion.com/en-us/company/media-center/press-release/4865,"셀트리온은 2026년 2분기 매출 1조3937억원, 영업이익 4518억원을 기록했다. 매출은 전년 동기 대비 45%, 영업이익은 86.3% 증가했고, 고수익 신제품이 바이오의약품 매출의 65%를 차지했다."
hanwha_aero_q2_2026,한화에어로스페이스,"한화에어로스페이스, 2026년 2분기 이익 증가",2026-07-31,https://en.yna.co.kr/view/AEN20260731006600320,한화에어로스페이스는 2026년 2분기 순이익 1조800억원을 기록해 전년 동기 대비 277.5% 증가했다. 실적은 시장 예상치를 웃돌았다고 보도됐다.
hdhyundai_q2_2026,HD현대,"HD현대, 2026년 2분기 높은 영업이익 기록",2026-07-31,https://www.asiae.co.kr/en/article/2026073116261901526,"HD현대는 2026년 2분기 연결 매출 22조4094억원, 영업이익 4조1246억원을 기록했다. 영업이익률은 18.4%로 발표됐다."
hdhhi_q2_2026,HD현대중공업,"HD현대중공업, 2026년 2분기 영업이익 급증",2026-07-29,https://www.investing.com/news/company-news/hd-hyundai-heavy-q2-2026-slides-profit-surges-121-on-shipbuilding-93CH-4818726,HD현대중공업은 2026년 2분기 영업이익 1조399억원을 기록해 전년 동기 대비 120.6% 증가했다고 발표했다.
market_h2_rotation_2026,국내 증시,"2026년 하반기 국내 증시, 반도체 쏠림에서 업종 확산 가능성",2026-07-23,https://kbthink.com/investment/issues/korea-stock-market-outlook-2026-h2.html,"2026년 상반기 국내 증시는 반도체가 상승을 주도했지만 하반기에는 전력기기, 조선·방산, 바이오, 화장품, 금융 등으로 관심이 확산될 가능성이 제시됐다. 주요 변수로 AI 설비투자, 미국 금리, 기업 실적과 중국 메모리 업체의 추격이 언급됐다."
kosdaq_rotation_2026,국내 증시,"코스닥, 2차전지·바이오 순환매로 급등",2026-06-29,https://www.newspim.com/news/view/20260629001225,"2026년 6월 29일 코스피는 외국인의 대규모 매도 속에 0.2% 하락했고, 코스닥은 2차전지와 바이오주 강세로 8.13% 상승했다. 장중 코스닥 매수 사이드카가 발동됐다."
july_rotation_2026,국내 증시,"7월 국내 증시, 소외 업종으로 자금 이동 가능성",2026-07-01,https://dealsitetv.com/articles/172684,"7월에는 상반기 주도주였던 반도체에서 자동차, 2차전지, 바이오 등 상대적으로 소외됐던 업종으로 자금이 이동할 수 있다는 전망이 나왔다. 반도체 조정이 곧 업황 훼손을 의미하는 것은 아니라는 분석도 제시됐다."
samsung_sdi_ess_2026,삼성SDI,"삼성SDI, 미국 ESS용 각형 배터리 공급 계약",2026-03-16,https://www.samsungsdi.com/sdi-now/sdi-news/list.html,삼성SDI는 미국에서 1조5000억원 규모의 ESS용 각형 배터리 공급 계약을 수주했다고 발표했다.
samsung_ai_ssd_2026,삼성전자,"삼성전자, AI 인프라용 PM1763 SSD 양산 시작",2026-07-08,https://news.samsung.com/global/category/products/semiconductors,삼성전자는 차세대 AI 인프라에 최적화한 PM1763 SSD의 양산을 시작했다고 발표했다.
